EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
CLS-TAQ00-SW-TM,"Monthly Advanced Features term license for GigaVUE-TA40 (GVS-TAQ[01/02]). Includes Bundled Elite-Plus Software Support.  (EOS Jul 30, 2021)",  , $195.00 ,,Taps and Aggregators,GigaVUE-TA40,United States,,7/30/2021,7/30/2026,CLS-TAC20-SW-TM,TRUE
CLS-TAX20,"Perpetual Advanced Features license for GigaVUE-TA25 (GVS-TAX[21/22/21A/22A]). Software support at desired level must be purchased separately. (EOS Jul 7, 2025)"," $5,095.00 ",  ,,Taps and Aggregators,GigaVUE-TA25,United States,,7/7/2025,12/7/2030,CLS-TAX20E,TRUE
CLS-TAX20-SW-TM,"Monthly Advanced Features term license for GigaVUE-TA25 (GVS-TAX[21/22/21A/22A]). Includes Bundled Elite-Plus Software Support. (EOS Jul 7, 2025)",  , $220.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,7/7/2025,12/7/2030,CLS-TAX20E-SW-TM,TRUE
CLS-TAX20E,Perpetual Advanced Features license for GigaVUE-TA25E (GVS-TAX[21E/22E/21EA/22EA/21EB/22EB]). Software support at desired level must be purchased separately.," $5,095.00 ",  ,,Taps and Aggregators,GigaVUE-TA25E,United States,,,,,TRUE
CLS-TAX20E-SW-TM,Monthly Advanced Features term license for GigaVUE-TA25E (GVS-TAX[21E/22E/21EA/22EA/21EB/22EB]). Includes Bundled Elite-Plus Software Support.,  , $220.00 ,,Taps and Aggregators,GigaVUE-TA25E,United States,,,,,TRUE
CLS-WBX01,Monthly Advanced Features term license for GSW-WBX01. Includes Bundled Elite-Plus Software Support.,  , $235.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,,,,TRUE
GSW-WBX01,"Monthly GigaVUE-OS term license for Dell 4112F-ON (500 Gbps & lower, 12x1G + 3x100G). Includes Bundled Elite-Plus Software Support.",  , $710.00 ,,Taps and Aggregators,GigaVUE-TA25,United States,,,,,TRUE
GTP-ASF00,"G-TAP A Series, Always On SFP/SFP+ TAP, No Power"," $2,900.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ASF01-UN,"G-TAP A Series, Always On SFP/SFP+ TAP, AC Power (EU, UK, US/JP, AU plugs)."," $2,900.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
GTP-ASF02,"G-TAP A Series, Always On SFP/SFP+ TAP, DC Power"," $3,150.00 ",  ,,Taps and Aggregators,GTAP-A,Mexico,,,,,TRUE
