EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
PWR-HC301,"Power Supply Module, GigaVUE-HC3, AC (each)"," $4,585.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-HC302,"Power Supply Module, GigaVUE-HC3, DC (each)"," $4,715.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-TAC21,"Power Supply Module, GigaVUE-TA200, GigaVUE-HC1-Plus, AC"," $1,970.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-TAC21E,"Power Supply Module, GigaVUE-TA200E, AC, each. Not TAA Compliant."," $2,370.00 ",  ,,Accessories,Accessories,China,,,,,FALSE
PWR-TAC22,"Power Supply Module, GigaVUE-TA200, GigaVUE-HC1-Plus, DC"," $2,890.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-TAC22E,"Power Supply Module, GigaVUE-TA200E, DC, each. Not TAA Compliant."," $3,030.00 ",  ,,Accessories,Accessories,China,,,,,FALSE
PWR-TAC41,"Power Supply Module, GigaVUE-TA400, AC. (EOS Jul 7, 2025)"," $2,940.00 ",  ,,Accessories,Power,China,,7/7/2025,12/7/2030,,FALSE
PWR-TAC41E,"Power Supply Module, GigaVUE-TA400E, AC"," $2,940.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-TAC42,"Power Supply Module, GigaVUE-TA400, DC. (EOS Jul 7, 2025)"," $3,615.00 ",  ,,Accessories,Power,China,,7/7/2025,12/7/2030,,FALSE
PWR-TAC42E,"Power Supply Module, GigaVUE-TA400E, DC"," $3,615.00 ",  ,,Accessories,Power,China,,,,,FALSE
PWR-TAX21,"Power Supply Module, GigaVUE-TA25, AC, each. Not TAA Compliant. (EOS Jul 7, 2025)"," $1,970.00 ",  ,,Accessories,Power,China,,7/7/2025,12/7/2030,,FALSE
PWR-TAX21E,"Power Supply Module, GigaVUE-TA25E, AC, each. Not TAA Compliant."," $2,830.00 ",  ,,Accessories,Accessories,China,,,,,FALSE
PWR-TAX22,"Power Supply Module, GigaVUE-TA25, DC, each. Not TAA Compliant.  (EOS Jul 7, 2025)"," $2,890.00 ",  ,,Accessories,Power,China,,7/7/2025,12/7/2030,,FALSE
PWR-TAX22E,"Power Supply Module, GigaVUE-TA25E, DC, each. Not TAA Compliant."," $3,505.00 ",  ,,Accessories,Accessories,China,,,,,FALSE
