EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,
SKU,Detailed Description,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),End of Sale,End of Life,EOS Replacement SKU,Support Available
GEM-250G-4G-SW-TM,"Monthly Term license for GigaVUE Enriched Metadata software for 4G Networks, Up to 250 Gbps capacity. Min Term is 12 months. Includes bundled Elite-Plus Support. This is a capacity-based Gen3 software license. Requires SMT-HC3-C08-HW",,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
GEM-250G-5G-SW-TM,"Monthly Term license for GigaVUE Enriched Metadata software for 5G Networks, Up to 250 Gbps capacity. Min Term is 12 months. Includes bundled Elite-Plus Support. This is a capacity-based Gen3 software license. Requires SMT-HC3-C08-HW",,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
GEM-25G-4G-SW-TM,Monthly term license for GigaSMART GigaVUE Enriched Metadata software for  4G Networks up to 25Gbps capacity. This is a capacity-based Gen3 software license on GigaVUE-HC1-Plus (SMT-HC1-S-HW). Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1-Plus,United States,,,,TRUE
GEM-25G-5G-SW-TM,Monthly term license for GigaSMART GigaVUE Enriched Metadata software for  5G Networks up to 25Gbps capacity. This is a capacity-based Gen3 software license on GigaVUE-HC1-Plus (SMT-HC1-S-HW). Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1-Plus,United States,,,,TRUE
GEM-50G-4G-SW-TM,"Monthly Term license for GigaVUE Enriched Metadata software for 4G Networks, Up to 50 Gbps capacity. Min Term is 12 months. Includes bundled Elite-Plus Support. This is a capacity-based Gen3 software license. Requires SMT-HC3-C08-HW",,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
GEM-50G-5G-SW-TM,"Monthly Term license for GigaVUE Enriched Metadata software for 5G Networks, Up to 50 Gbps capacity. Min Term is 12 months. Includes bundled Elite-Plus Support. This is a capacity-based Gen3 software license. Requires SMT-HC3-C08-HW",,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
GVS-HC100-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-HC1 (GVS-HC1[01/02]-HW). Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
GVS-HC101,"GigaVUE-HC1 chassis, 12 1G/10G cages, 4 10/100/1000M Copper, built-in Gen2 GigaSMART, fan tray, 2 power supplies, AC power.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
GVS-HC101-HW,"GigaVUE-HC1 chassis, 12 1G/10G cages, 4 10/100/1000M Copper, built-in Gen2 GigaSMART, fan tray, 2 power supplies, AC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
GVS-HC101-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC1 (GVS-HC101-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC1,United States,2/28/2023,,GVS-HC100-SW-TM,TRUE
GVS-HC102,"GigaVUE-HC1 chassis, 12 1G/10G cages, 4 10/100/1000M Copper, built-in Gen2 GigaSMART, fan tray, 2 power supplies, DC power.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
GVS-HC102-HW,"GigaVUE-HC1 chassis, 12 1G/10G cages, 4 10/100/1000M Copper, built-in Gen2 GigaSMART, fan tray, 2 power supplies, DC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
GVS-HC102-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC1 (GVS-HC102-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC1,United States,2/28/2023,,GVS-HC100-SW-TM,TRUE
GVS-HC1P-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC1-Plus (GVS-HC1[P1/P2]-HW). Enables GigaSMART Slicing, Masking, GigaVUE Tunneling De-Encapsulation & Source Port Labeling. Includes Bundled Elite-Plus Software Support.",,GigaVUE H Series,GigaVUE-HC1-Plus,United States,,,,TRUE
GVS-HC1P1,"GigaVUE-HC1-Plus chassis, 8 1/10/25G cages, 4 40/100G cages, built-in Gen3 GigaSMART (includes Slicing, Masking, GigaVUE Tunneling De-Encapsulation SW & Source Port Labeling), fan tray, 2 power supplies, AC power.",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
GVS-HC1P1-HW,"GigaVUE-HC1-Plus chassis, 8 1/10/25G cages, 4 40/100G cages, built-in Gen3 GigaSMART card, fan tray, 2 power supplies, AC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
GVS-HC1P2,"GigaVUE-HC1-Plus chassis, 8 1/10/25G cages, 4 40/100G cages, built-in Gen3 GigaSMART (includes Slicing, Masking, GigaVUE Tunneling De-Encapsulation SW & Source Port Labeling), fan tray, 2 power supplies, DC power.",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
GVS-HC1P2-HW,"GigaVUE-HC1-Plus chassis, 8 1/10/25G cages, 4 40/100G cages, built-in Gen3 GigaSMART card, fan tray, 2 power supplies, DC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1-Plus,Mexico,,,,TRUE
GVS-HC200-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC2 w/ CCv1 (GVS-HC2[01/02]-HW). Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,,TRUE
GVS-HC2A0-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC2 w/ CCv2 (GVS-HC2[A1/A2]-HW). Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,,TRUE
GVS-HC2A1-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC2 (GVS-HC2A1-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,GVS-HC1P-SW-TM,TRUE
GVS-HC2A2-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC2 (GVS-HC2A2-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,GVS-HC1P-SW-TM,TRUE
GVS-HC3A0-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-HC3 (GVS-HC3[A1/A2/A3/A4]-HW). Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
GVS-HC3A1,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 2 power supplies, AC power.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
GVS-HC3A1-HW,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 2 power supplies, AC power . Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
GVS-HC3A1-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC3 (GVS-HC3A1-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC3,United States,2/28/2023,,GVS-HC3A0-SW-TM,TRUE
GVS-HC3A2,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 2 power supplies, DC power.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
GVS-HC3A2-HW,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 2 power supplies, DC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
GVS-HC3A2-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-HC3 (GVS-HC3A2-HW). Includes Bundled Elite-Plus Software Support. (EOS Feb 28, 2023)",,GigaVUE H Series,GigaVUE-HC3,United States,2/28/2023,,GVS-HC3A0-SW-TM,TRUE
GVS-HC3A3,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 4 power supplies, AC power.",,GigaVUE H Series,GigaVUE-HC3,Mexico,,,,TRUE
GVS-HC3A3-HW,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 4 power supplies, AC power . Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Mexico,,,,TRUE
GVS-HC3A4,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 4 power supplies, DC power.",,GigaVUE H Series,GigaVUE-HC3,Mexico,,,,TRUE
GVS-HC3A4-HW,"GigaVUE-HC3 base unit w/ chassis, Control Card v2, 5 Fan Modules, CLI, 4 power supplies, DC power. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Mexico,,,,TRUE
GVS-HCT00-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-HCT (GVS-HCT01-HW). Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HCT,United States,,,,TRUE
GVS-HCT01,"GigaVUE-HCT chassis, 2 x 40/100G QSFP28 cages, fan tray, 1 AC power brick.",,GigaVUE H Series,GigaVUE-HCT,Mexico,,,,TRUE
GVS-HCT01-HW,"GigaVUE-HCT chassis, 2 x 40/100G QSFP28 cages, fan tray, 1 AC power brick. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HCT,Mexico,,,,TRUE
PRT-HC0-C02-SW-TM,"Monthly GigaVUE-OS term license for PRT-HC0-C02-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,PRT-HC1-Q04X08-SW-TM,TRUE
PRT-HC0-Q06-SW-TM,"Monthly GigaVUE-OS term license for PRT-HC0-Q06-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,PRT-HC1-Q04X08-SW-TM,TRUE
PRT-HC0-X24-SW-TM,"Monthly GigaVUE-OS term license for PRT-HC0-X24-HW. Includes Bundled Elite-Plus Software Support. (EOS Dec 31, 2022)",,GigaVUE H Series,GigaVUE-HC2,United States,12/31/2022,12/31/2027,PRT-HC1-Q04X08-SW-TM,TRUE
PRT-HC1-G12,"Port module, GigaVUE-HCT, 6 x 10/100/1000M copper ports, 6 x 100/1000M SFP cages.​",,GigaVUE H Series,GigaVUE-HC1,Mexico,,,,TRUE
PRT-HC1-G12-HW,"Port module, GigaVUE-HCT, 6 x 10/100/1000M copper ports, 6 x 100/1000M SFP cages. Hardware only. Must pair with appropriate GigaVUE-OS Software License.​",,GigaVUE H Series,GigaVUE-HC1,Mexico,,,,TRUE
PRT-HC1-G12-SW-TM,Monthly GigaVUE-OS term license for PRT-HC1-G12-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
PRT-HC1-Q04X08,"Port Module, GigaVUE-HC1-Plus/HC1/HCT. On GigaVUE-HC1, the port speeds are 4 x 40G, 8 x 10G. On GigaVUE-HC1-Plus, the port speeds are 4 x 100G, 8 x 25G. On GigaVUE-HCT, the port speeds are 4 x 40G, 4 x 25G, 4 x 10G.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
PRT-HC1-Q04X08-HW,"Port Module, GigaVUE-HC1-Plus/HC1/HCT. On GigaVUE-HC1, the port speeds are 4 x 40G, 8 x 10G. On GigaVUE-HC1-Plus, the port speeds are 4 x 100G, 8 x 25G. On GigaVUE-HCT, the port speeds are 4 x 40G, 4 x 25G, 4 x 10G. Hardware only. Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC1,Taiwan,,,,TRUE
